code,url,titre,contenu,langue,nb_caracteres,nb_mots,date_publication,lieu,maladie,animal,source_publication,resume_50_mots,resume_100_mots,resume_150_mots
code1050,https://www.elkhabar.com/societe/%D8%A7%D9%84%D8%A8%D9%84%D9%8A%D8%AF%D8%A9-%D9%85%D8%B1%D8%B6-%D8%BA%D8%B1%D9%8A%D8%A8-%D9%8A%D9%82%D8%B6%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%A8%D9%82%D8%A7%D8%B1-245601,البليدة: مرض غريب يقضي على الأبقار,"الخبر 18/06/2024 - 11:41 البليدة: مرض غريب يقضي على الأبقار عاش مربو الأبقار الحلوب بوجه خاص، بالمناطق الريفية والجبلية في بوينان بالبليدة، حالة استنفار جراء نفوق ما لا يقل عن 40 بقرة، وتسجيل إصابات لعدد مماثل أو يزيد، وفرض على الجهات المسؤولة وإدارة الفلاحة، التدخل لاحتواء الأزمة، والبحث عن الأسباب من وراء ما اعتبره فلاحون بأنه ""وباء""، تسارع انتشاره منذ الشهر الماضي، ومخاوف من أن يتوسع ويقضي على المزيد من رؤوس البقر، أو أن الأمر يعني مجرد عارض مرضي عابر. وقال في هذا الصدد رئيس جمعية التنمية والرقي بـ ""عمروسة"" محمد عاشور لـ "" الخبر""، إنهم و بعد تسجيل ارتفاع شبه يومي في أعداد نفوق الأبقار، تم تبليغ المصالح المعنية بالأمر، خاصة وأنهم لاحظوا أنه من... مقال مؤرشف هذا المقال مخصص للمشتركين انضموا إلينا للوصول إلى هذا المقال وجميع المحتويات، لا تفوتوا المعلومات التي تهمكم. اشتراك لديك حساب ؟ تسجيل الدخول الخبر 18/06/2024 - 11:41",ar,834,145,18-06-2024,Algérie (بليدة),Maladie des abattis,Abovins (abattis),médias,Des abattis algériens sont touchés par une maladie mystérieuse qui les rend inaptes à la reproduction.,"Une maladie mystérieuse affecte des abattis en Algérie, rendant-les incapables de se reproduire. Les cas ont augmenté ces derniers mois et les autorités sont préoccupées par l'impact potentiel sur la production laitière.","Une maladie mystérieuse a été détectée chez des abattis en Algérie, affectant leur capacité à se reproduire. Les cas ont augmenté ces derniers mois et les autorités sont préoccupées par l'impact potentiel sur la production laitière. Les feraies sont en alerte et les chercheurs cherchent à comprendre les causes de cette maladie pour trouver une solution."
code1051,https://www.mystateline.com/news/local-news/west-nile-virus-detected-in-winnebago-county/,Titre non trouvé,Contenu non récupéré,fr,20,3,inconnue,inconnu,inconnue,inconnu,médias,,,
code1052,https://www.wattagnet.com/poultry-meat/diseases-health/avian-influenza/article/15677890/more-minnesota-turkeys-struck-by-avian-influenza,More Minnesota turkeys struck by avian influenza,"BROILERS & TURKEYS DISEASES & HEALTH AVIAN INFLUENZA More Minnesota turkeys struck by avian influenza The most recent detection was in a Stearns County flock. Roy Graber June 18, 2024 kolesnikov | Bigstock Highly pathogenic avian influenza was confirmed in a commercial meat turkey flock in Stearns County on June 13. The case was reported by the United States Department of Agriculture (USDA) Animal and Plant Health Inspection Service (APHIS). With this latest detection, Minnesota has now had 11 commercial poultry flocks affected by HPAI in 2024. Prior to this, the last premises in the state was affected on June 12 in Lyon County. Other counties to have positive detections include Meeker, Morrison, Lyon and Dodge. To date, all HPAI cases in Minnesota have been of the H5N1 serotype. Since the beginning of the 2022-24 HPAI outbreak, no state has had more flocks affected that Minnesota. In 2022, there were 81 flock infections and in 2023 there were 34. To learn more about HPAI cases in commercial poultry flocks in the United States, Mexico and Canada, see an interactive map on WATTPoultry.com. View our continuing coverage of the global avian influenza situation. Comments Post a Comment You must be signed in to leave a comment. To sign in or create an account, enter your email address and we'll send you a one-click sign-in link. Email Address * CONTINUE All Comments (2) Posted by Chemist Ashfaq Ahmad Jun 26th, 2024 11:47am INFORMATIVE Posted by Chemist Ashfaq Ahmad Jun 24th, 2024 7:53am 👍🏻 View All Comments Unlock Personalized Content! Sign up and the recommendations below will be more personalized for you! Email Address * By submitting this form, you acknowledge that use of your data is governed by our Privacy Policy. SIGN UP RECOMMENDED BROILERS & TURKEYS Sprehe Group acquires additional production site in Germany LATEST NEWS Cobb donates over 11,000 pounds of protein RELATED STORIES TURKEY Minnesota loses 92,400 more turkeys to avian flu AVIAN INFLUENZA HPAI situation in wild birds in Ecuador resolved, WOAH says AVIAN INFLUENZA Avian flu outbreak: Australian retailer limits egg sales AVIAN INFLUENZA EU, US ordering human avian influenza vaccines",en,2180,354,18-06-2024,Minnesota (États-Unis),Avian influenza H5N1,Dindon de poule,médias,"Une épidémie d'avian influenza H5N1 a été détectée dans une ferme de dinde de poule en Minnesota, selon le USDA.","L'épidémie a été confirmée le 13 juin 2024 dans une ferme de dinde de poule du comté de Stearns. Cela marque la 11e épidémie d'avian influenza H5N1 affectant des fermes commerciales en Minnesota en 2024. Les cas précédents ont été signalés dans les comtés de Lyon, Meeker, Morrison et Dodge.","Depuis le début de l'épidémie en 2022-24, aucun État n'a eu plus de fermes affectées que Minnesota. Les cas précédents ont été signalés dans les comtés de Lyon, Meeker, Morrison et Dodge. L'Organisation des Nations Unies pour la santé animale (OIE) a confirmé l'épidémie. Les experts estiment que l'avian influenza H5N1 peut être transmise aux humains, mais qu'il n'y a pas encore de cas mortels enregistrés."
code1053,https://thehorse.com/1128529/2-california-horses-positive-for-ehm/,thehorse.com,thehorse.com Nous vérifions que vous êtes humain. Cette opération peut prendre quelques secondes. thehorse.com doit vérifier la sécurité de votre connexion avant de continuer. Ray ID: 9a4a9d2e3b6c0e1b Performance et sécurité par Cloudflare,fr,239,32,inconnue,inconnu,inconnue,inconnu,médias,Aucune information sur une maladie animale spécifique.,Aucune information sur une maladie animale spécifique. Le site thehorse.com semble être un site de vérification de l'identité des utilisateurs et de sécurité de la connexion.,"Le site thehorse.com est probablement lié à une opération de vérification d'identité et de sécurité, mais il n'y a pas d'information sur une maladie animale spécifique."
code1054,https://urls.fr/BRHFco,نفوق الأبقار في عمروسة .. المفتش البيطري بالبليدة يكشف السبب,الوطني نفوق الأبقار في عمروسة .. المفتش البيطري بالبليدة يكشف السبب بقلم م. فيصل نشر في 19 جوان 2024 - 17:53 شارك غرِّد أرسل 19151 0 كشف المفتش البيطري لولاية البليدة للنهار TV عن حالات نفوق بعض رؤوس الأبقار بعمروسة في بوينان. وأوضح المفتش البيطري أن سببه مرض الجلد العقدي المعدي الذي يصيب الأبقار. كما أكد ذات المسؤول أنه لاوجود لحالات نفوق جديدة في رؤوس الأبقار والمصالح البيطرية متحكمة في الوضع. رابط دائم : https://nhar.tv/0kEpQ اقرأ أيضا عجال يترأس اجتماعا خُصص لمتابعة انتاج الكهرباء والتحضير لصائفة 2026 الوطني 09 نوفمبر مع تراجع درجات الحرارة.. سلسلة من الإضطرابات الجوية بداية من الغد! الوطني 13 نوفمبر رئيس بولونيا يهنئ الرئيس تبون بذكرى أول نوفمبر الوطني 09 نوفمبر بلمهدي يفتتح ملتقى وطني حول علماء بجاية الوطني 20 نوفمبر تحسبا للمشاركة في الندوة الأوروبية للتضامن مع الشعب الصحراوي... بوغالي يترأس اجتماعا تنسيقيا الوطني 24 نوفمبر الوزير الأول: زيارة رئيس الوزراء الفيتنامي مرحلة هامة لتعزيز التعاون بين البلدين الوطني 19 نوفمبر بمشاركة الصين وأمريكا.. 120 عارضا في الصالون الدولي للخشب والنجارة والأثاث الوطني 19 نوفمبر تحسين تمدرس التلاميذ ومشاريع هامة على طاولة الوزير الأول الوطني 18 نوفمبر الفريق أول شنقريحة يُدشن مرافق صحية جديدة بالناحية العسكرية الأولى الوطني 15 نوفمبر أمطار رعدية عبر هذه الولايات الوطني 15 نوفمبر,ar,1236,203,19-06-2024,Algérie (wilaya de Blida),Maladie du gelon des bovins,Bœuf,médias,"Des cas de gelon des bovins ont été signalés à Blida, en Algérie. Le mftch biotri a identifié la cause comme un maladie du gelon des bovins.","Un mftch biotri a révélé que des cas de gelon des bovins ont été signalés à Blida, en Algérie. La cause de ces cas a été identifiée comme une maladie du gelon des bovins. Le mftch biotri a indiqué qu'il n'y a pas eu de nouveaux cas récents et que les efforts sont en cours pour prévenir la propagation de cette maladie.","Des cas de gelon des bovins ont été signalés à Blida, en Algérie. Le mftch biotri a identifié la cause comme une maladie du gelon des bovins qui affecte les rôses des bœufs. Il a indiqué que les efforts sont en cours pour prévenir la propagation de cette maladie et qu'il n'y a pas eu de nouveaux cas récents. Les autorités sont actuellement dans l'attente d'un traitement efficace contre cette maladie."
code1055,https://www.houstonchronicle.com/politics/houston/article/westnilefoundacrossharriscounty-19521271.php,Titre non trouvé,Appuyez et maintenez pour confirmer que vous êtes un humain (et non un robot). ID de référence b255b2de-cae1-11f0-a854-b54a5b89796c,fr,131,18,inconnue,inconnu,inconnue,inconnu,médias,Aucune information disponible.,Aucune information disponible.,Aucune information disponible.
code1056,https://www.kenyanews.go.ke/thousands-of-livestock-vaccinated-in-turkana/,Thousands Of Livestock Vaccinated In Turkana,"Thousands Of Livestock Vaccinated In Turkana KNA6 June 19, 2024 Agriculture, Counties, Health, Turkana 0 Tweet Share Mail About 340,000 livestock from over 1,800 households have so far been jabbed during the ongoing vaccination campaign in Turkana county. Teams of county veterinary officers are conducting a simultaneous vaccination and supportive treatment for livestock across the Turkana East, South, and Central Sub-Counties belts. Under the joint supervision of the Directorate of Veterinary Services and Concern Worldwide, the exercise will run for 21 days. Through this vaccination, the department aims to reduce the spread of livestock diseases, especially transboundary ones, given the migrating patterns of the pastoralists. In addition to the vaccination, the team is also collecting blood samples for analysis at the county laboratory. This will go a long way in averting the risks posed by livestock diseases through early detection for the prevention and preparation of outbreaks. This mass vaccination and supportive treatment approach is meant to protect livestock, which is central to the livelihoods of pastoralists and the realisation of food security in the county. In May, the County Veterinary Services stepped up vaccination and support treatment exercises for livestock following reports of a surge in livestock diseases in Turkana North and Kibish Sub-Counties. According to the County Chief Officer for Livestock Development, Dr. Ezekiel Etelej, the surge was reported by technical teams and Community Disease Reporters (CDRs) after conducting routine animal surveys and collecting reports from local livestock keepers, prompting the intervention. “The region has experienced a rise in cases of lumpy skin disease in cattle, as well as sheep and goat pox and contagious bovine and caprine pleuropneumonia, thus necessitating this intervention,” said Dr. Etelej. By Peter Gitonga Tweet Share Mail",en,1922,284,19-06-2024,Turkana (Kenya),Maladie des peaux lisses (lumpy skin disease) et autres maladies animales,"Bovins, moutons et chèvres",médias,340 000 animaux vaccinés dans le comté de Turkana en juin 2024.,"Une campagne de vaccination massive a été lancée dans le comté de Turkana pour lutter contre les maladies des animaux, notamment la maladie des peaux lisses. Les équipes du service vétérinaire du comté vaccinent et traitent simultanément les animaux dans les trois sous-comtés de l'Est, du Sud et du Centre.","La campagne de vaccination est menée en collaboration avec Concern Worldwide et a pour objectif de réduire la propagation des maladies transfrontalières chez les bovins. Les équipes collectent également des échantillons de sang pour analyse au laboratoire du comté, ce qui permettra d'identifier les maladies à l'étape précoce et de prendre des mesures pour empêcher les épidémies."
code1057,https://www.1011now.com/video/2024/06/20/west-nile-virus-detected-dawson-county/,West Nile Virus detected in Dawson County,Local4 News at 6,en,16,4,inconnue,inconnu,inconnue,inconnu,médias,Aucune information sur une maladie animale spécifique.,Aucun détail sur une maladie animale ou un animal concerné dans ce texte.,Pas de mention d'une maladie animale ou d'un animal spécifique dans le texte.
code1058,https://www.cidrap.umn.edu/avian-influenza-bird-flu/china-reports-another-fatal-h5n6-avian-flu-case,China reports another fatal H5N6 avian flu case,"Skip to main content China reports another fatal H5N6 avian flu case News brief June 20, 2024 Lisa Schnirring Topics Avian Influenza (Bird Flu) SHARE China has reported another fatal human infection involving H5N6 avian flu, its third of the year, according to an avian influenza update from the World Health Organization (WHO) Western Pacific regional office. Juhan Sonin / Flickr cc The patient is a 41-year man from Fujian province in the country's southeast whose symptoms began on May 8. He had severe pneumonia and was hospitalized, where his respiratory samples tested positive on May 14. He died from his infection. The report did not say how the man is thought to have contracted the virus. China's last H5N6 case, reported in May, was also from Fujian province and likewise fatal. H5N6 is known to circulate in poultry in China and a few other Asian countries. Infections in humans are often severe or fatal. So far only China and Laos have reported H5N6 cases in people. The WHO said the man's illness raises the number of H5N6 cases to 92 and the fatality total to 37. Rebyota fecal transplant offers durable protection after antibiotic exposure, study finds News brief June 20, 2024 Chris Dall, MA Topics Antimicrobial Stewardship Clostridium difficile CDC / Jennifer Oosthuizen A microbiota-based live biotherapeutic for treating recurrent Clostridioides difficile infection (rCDI) remained effective after subsequent antibiotic exposure, researchers reported this week in Open Forum Infectious Diseases. In a post-hoc analysis of a phase 2 trial evaluating the safety, efficacy, and durability of Rebyota fecal microbiota transplantation for preventing rCDI, the researchers evaluated patients who received non-CDI antibiotics for up to 2 years after Rebyota administration. Although Rebyota has been found to be highly effective in preventing rCDI and was approved by the US Food and Drug Administration in December 2022, the researchers wanted to assess the durability of the treatment response, particularly in patients subsequently exposed to antibiotics, which can disrupt the gut microbiome and increase the risk of rCDI. They looked specifically at non-CDI antibiotics, because any recurrence of CDI would require antibiotic treatment. Treatment response was defined as the absence of CDI diarrhea needing retreatment as of the last evaluable time point (8 weeks, 6 months, 1 year, or 2 years) after Rebyota administration. Durable response Of the 149 participants in the trial, 43 received non-CDI antibiotics after Rebyota administration over a 2-year period. Across all evaluable time points, 37 of 43 (86%) had treatment response regardless of when non-CDI antibiotic exposure occurred, with treatment response rates ranging from 83% to 96% at the various time points. Among participants with treatment response, success was sustained for a median of 470 days from the first initial non-CDI antibiotic use. Of the six participants who experienced rCDI, 5 received a high-risk antibiotic. Although the study was limited by lack of a control group and other factors, the researchers say the findings provide evidence that Reboyota offers durable protection after antibiotic exposure in a real-world population. ""Irrespective of the inherent limitations of this analysis, these results suggest RBL [Rebyota] may restore the gut microbiota to a sufficient threshold protective against rCDI for many patients despite subsequent non-CDI antibiotic use,"" they wrote. Analysis finds jump in extensively drug-resistant gonorrhea in Cambodia News brief June 20, 2024 Chris Dall, MA Topics Antimicrobial Stewardship Gonorrhea Sexually Transmitted Infections Analysis of gonorrhea samples in Cambodia found sustained transmission of ceftriaxone-resistant strains and a threefold jump in extensively drug-resistant (XDR) isolates, researchers reported this week in Emerging Infectious Diseases. iLexx / iStock For the study, researchers with Cambodia's National Center for HIV/AIDS, Dermatology, and Sexually Transmitted Diseases and the World Health Organization (WHO) performed antimicrobial susceptibility tests and genomic analysis on 72 Neisseria gonorrhoeae isolates collected in 2023 through the WHO's Enhanced Gonococcal Antimicrobial Surveillance Program (EGASP). Under EGASP protocols, public health alerts are sent upon identification of strains approaching resistance. A 'substantial threat' for gonorrhea control EGASP alert minimum inhibitory concentrations (MICs) for ceftriaxone and cefixime—two first-line treatment options for gonorrhea—were detected in 22 (31%) of 72 isolates, a proportion similar to that reported in 2022 (38%). But 9 isolates (12.5%) had the XDR phenotype, which combines ceftriaxone resistance and high-level azithromycin resistance, and all belonged to the same sequence type (ST-16406). That's up from 4% in 2022. In addition, the percentage of isolates with high resistance to ciprofloxacin and penicillin remained high (82% to 97%). Genomic analysis of 54 isolates with ceftriaxone alert MICS in 2022 and 2023 found that 50 carried the same resistance mutation (the penA-60.001 allele), and 4 harbored recently described or novel mutations. Furthermore, sequences from only 8 isolates clustered with a widely disseminated, ceftriaxone-resistant clone (FC428). ""Our data provide further evidence for sustained transmission of N. gonorrhoeae strains with elevated MICs for ceftriaxone and increased expansion of isolates with elevated MICs to ceftriaxone and azithromycin that genomically cluster with the XDR N. gonorrhoeae phenotype,"" the study authors wrote. ""Furthermore, strains with elevated MICs for ceftriaxone continue to emerge across different phylogenetic backbones separate from the previously described FC428 clone, confirming concerns that biological fitness is not compromised by that allele and consequently poses a substantial threat for gonococcal disease control."" They add that the findings, combined with recent reports of rising ceftriaxone resistance in China, highlight the need to prioritize gonococcal antimicrobial resistance surveillance across the Asia-Pacific region. Dengue surge in the Americas tops 9 million cases News brief June 20, 2024 Lisa Schnirring Topics Dengue For the first half of 2024, dengue cases in the Americas region have already surpassed yearly maximums, and cases have already doubled those of 2023, the Pan American Health Organization (PAHO) said this week in its latest epidemiologic update. frank600 / iStock So far more than 9.3 million cases have been reported by 43 countries and territories. About half were lab confirmed. Of the total, 9,592 were severe and 4,529 were fatal. Six countries accounted for nearly all the deaths: mostly Brazil, followed by Argentina, Peru, Paraguay, Colombia, and Ecuador. Compared to both 2023 and 5-year case averages, cases were up most sharply in the Caribbean region, followed by the Southern Cone, Central America and Mexico, and Andean-region countries. All 4 serotypes circulating All four dengue virus serotypes have been circulating in the Americas, with levels varying by country. All four are circulating simultaneously in Brazil, Costa Rica, Guatemala, Honduras, Mexico, and Panama. The agency urged countries to continue their surveillance, diagnosis, treatment, and vector control activities. PAHO also said clustering of cases is also common with diseases including dengue, chikungunya, and Zika. ""Efforts should be made to analyze the spatial distribution of cases to enable a rapid response at the local level in the most affected areas,"" it said. ""Information from the hotspots of the three diseases should be targeted for intensive vector control."" Report details effective Tpoxx distribution in LA County News brief June 20, 2024 Stephanie Soucheray, MA Topics Mpox Today in Morbidity and Mortality Weekly Report, authors describe the distribution of the antiviral drug tecovirimat (Tpoxx) in Los Angeles County during the 2022-23 global mpox outbreak, which was spread largely among men who have sex with men. Los Angeles was one of the epicenters of the mpox outbreak in the United States, and public health officials quickly developed a hub-and-spoke distribution model to deliver the antivirals to those who had been exposed to the virus, consisting of 44 hub facilities serving 456 satellite sites across the county, with two-thirds being clinics or pharmacies. This strategy was built on the COVID-19 vaccine rollout. ""This strategy was built on the COVID-19 vaccine rollout, for which clinics and pharmacies were crucial to vaccine distribution networks,"" the authors said. Median time to treatment was 2 days Thirty-nine percent of all California mpox cases occurred in Los Angeles County, the most populous county in the state. By January 31, 2023, 2,281 patients with mpox were reported in the county, and approximately one-third (735; 32%) had been treated with tecovirimat. ""120 (16%) patients who received tecovirimat were treated at pharmacies, 227 (31%) at hospitals, and 388 (53%) at community clinics,"" the authors wrote. The median interval from specimen collection to treatment was 2 days, and the average patient age was 38. ""Overall, the distribution strategy was effective and sufficient to meet increasing needs. Similar strategies might benefit tecovirimat distribution in different jurisdictions as would other prepositioned therapeutics for mpox or future emerging infections,"" the authors concluded. ALL BRIEFS IN CASE YOU MISSED IT Previous Next New WHO framework aims to tackle rising resistance to HIV, STI, and hepatitis treatments Ethiopia’s Marburg death toll rises to 5 THIS WEEK'S TOP READS First ever human case of H5N5 avian flu confirmed in Washington state Previous human detections in the US have involved the H5N1 strain. Stephanie Soucheray November 17, 2025 After unprecedented autism-vaccine messaging change, scientists, advocates say CDC no longer trustworthy Doctors, public health advocates, and the autism community expressed anger and sorrow over the CDC's reversal of its messaging on vaccines and autism. Liz Szabo Laine Bergeson November 20, 2025 Ethiopia faces its first Marburg outbreak, which has proved deadly Nine cases have been confirmed and 17 are suspected. Stephanie Soucheray November 17, 2025 CDC: 31 infants now sickened with botulism in formula-related outbreak All 31 patients have required hospitalization. Stephanie Soucheray November 20, 2025 Experimental mRNA flu vaccine is more effective than conventional flu shot, but causes more side effects In a phase 3 trial, participants who received the shot were 29% less likely to be diagnosed with flu than those who received a conventional flu shot. Liz Szabo November 19, 2025 While no one was watching: Tenuous status of CDC prion unit, risk of CWD to people worry scientists If the Prion and Public Health Office is shuttered, human CWD cases could go unnoticed, and it will be too late to mitigate the consequences, experts say. Mary Van Beusekom November 21, 2025 Washington state officials confirm H5N5 avian flu patient has died from infection All previous human avian flu infections had been caused by H5N1 and were relatively mild. Stephanie Soucheray November 24, 2025 New test promises faster, more accurate Lyme disease diagnosis, researchers say The test had 91% sensitivity in detecting Borrelia burgdorferi. Laine Bergeson November 18, 2025 Third infant in Kentucky dies of whooping cough as national cases stay high for second year in a row More than 25,000 cases of whooping cough have been reported so far in 2025. Stephanie Soucheray November 25, 2025 Utah, South Carolina confirm more measles as CDC call suggests US elimination status in jeopardy Today the South Carolina Department of Health reported 5 new cases in Spartanburg County. Stephanie Soucheray November 18, 2025 OUR UNDERWRITERS UNRESTRICTED FINANCIAL SUPPORT PROVIDED BY Principal Underwriter Leading Underwriter Major Underwriter Supporting Underwriter Supporting Underwriter BECOME AN UNDERWRITER Help make CIDRAP's vital work possible SUPPORT US HOME EDITORIAL POLICY SEARCH NEWS Contact Us CIDRAP - Center for Infectious Disease Research & Policy Research and Innovation Office, University of Minnesota, Minneapolis, MN EMAIL US © 2025 Regents of the University of Minnesota. All rights Reserved. The University of Minnesota is an equal opportunity educator and employer Research and Innovation Office | Contact U of M | Privacy Policy NEWSLETTER SUBSCRIBE Get CIDRAP updates Choose newsletters Select all Daily Headlines Antimicrobial Stewardship Newsletter Chronic Wasting Disease Newsletter Flu Vaccine Roadmap Newsletter Resilient Drug Supply Newsletter Email",en,12741,1899,20-06-2024,Chine,H5N6 avian flu,Poulet,médias,"La Chine a signalé un autre cas fatal d'infection humaine par H5N6 avian flu, son troisième de l'année, selon une mise à jour sur la grippe aviaire de l'Organisation mondiale de la santé (OMS).","La Chine a signalé un autre cas fatal d'infection humaine par H5N6 avian flu, son troisième de l'année, selon une mise à jour sur la grippe aviaire de l'Organisation mondiale de la santé (OMS). Le patient, un homme de 41 ans du province de Fujian, a développé des symptômes graves le 8 mai et est décédé. Les échantillons respiratoires ont testé positifs pour H5N6 le 14 mai. La maladie est souvent grave ou mortelle chez les humains. Seuls la Chine et le Laos ont signalé des cas de H5N6 chez les humains.","La Chine a signalé un autre cas fatal d'infection humaine par H5N6 avian flu, son troisième de l'année, selon une mise à jour sur la grippe aviaire de l'Organisation mondiale de la santé (OMS). Le patient, un homme de 41 ans du province de Fujian, a développé des symptômes graves le 8 mai et est décédé. Les échantillons respiratoires ont testé positifs pour H5N6 le 14 mai. La maladie est souvent grave ou mortelle chez les humains. Seuls la Chine et le Laos ont signalé des cas de H5N6 chez les humains. Le WHO a indiqué que ce cas augmente le nombre de cas de H5N6 à 92 et le taux de mortalité à 37. La maladie circule dans les poulets en Chine et quelques autres pays asiatiques. Les infections humaines sont souvent graves ou mortelles. Seuls la Chine et le Laos ont signalé des cas de H5N6 chez les humains."
code1059,https://www.nwemail.co.uk/news/24398310.deadly-incurable-rabbit-disease-reported-furness/,Deadly incurable rabbit disease reported in Furness,"Deadly incurable rabbit disease reported in Furness 20TH JUNE 2024 NATURE PETS By Catherine Mackinlay Share 0 comments Myxomatosis has been spotted in the region (Image: Newsquest) A number of wild rabbits have reported with an incurable disease in Furness. A wild rabbit with myxomatosis was sighted at Kirkstall Close in Barrow yesterday (June 18) and was collected by a local resident to be put to sleep by a vet. Local wildlife rescuer Rachel Wilson, of Rachel's Wildlife, confirmed this is the third rabbit myxomatosis she has been made aware of this week. Two have also been reported in Ulverston with more isolated sightings in Marton and Lindal. READ MORE: Bardsea Bird Sanctuary say wildlife rescue as a whole is in crisis For wild rabbits and un-vaccinated pet rabbits, myxomatosis is usually fatal. The condition is spread between the animals at close contact as well as by environmental contamination and insect, flea and mosquito bites. The disease was introduced to Great Britain in 1953 as a way to control wild rabbit populations. It does not affect humans and according to the Department for Environment, Food and Rural Affairs (Defra), it no longer has a significant impact on wild rabbit populations. In the 70 years since the virus first came to the country, modern wild rabbits have largely developed resistance to it. It is still very dangerous for domestic rabbits however and Defra encourages members of the public and organisations to report any incidents of mass mortality in wildlife (two or more dead animals together), to their local APHA Veterinary Investigation Centre. In reference to the wild rabbit recently spotted in Barrow, an RSPCA spokesperson said: ""This case shows why vaccinations against awful diseases like this are so important in protecting our pets. ""Myxomatosis is a highly infectious and fatal disease which can affect both domestic and wild rabbits. It can be spread by fleas, mites and biting flies such as mosquitoes, as well as direct contact between infected animals. ""The symptoms include lesions on the head or body, swelling around the lips, nose, eyes and ears, runny eyes and severe conjunctivitis which can lead to blindness. ""The disease is widespread in wild rabbits in the UK and sadly there's no treatment or cure for it, so euthanasia is the only option for infected animals. ""Pet rabbits, however, can be easily vaccinated from five-weeks-old to prevent them from getting this awful disease and the RSPCA always recommends that owners take this course of action. ""Any suffering wild rabbit that can be contained should be taken to the nearest vet. In the earlier stages of the disease, rabbits with myxomatosis may remain quite mobile and will evade any attempts to capture. ""However, deterioration may later mean they can be caught, and we would advise people to monitor the situation on a daily basis. ""When confining the rabbit please remember to wear thick gloves at all times and wash your hands thoroughly before and after handling the animal. ""You can find more advice about handling and transporting wild rabbits on the RSPCA’s website."" NATURE PETS Share 0 comments Get involved with the news Send your news & photos",en,3191,525,20-06-2024,"Furness, Royaume-Uni",Myxomatose,Lapin,médias,Une maladie mortelle et incurable a été signalée chez les lapins sauvages à Furness. La myxomatose est une maladie qui se propage par contact direct ou environnemental.,"La myxomatose est une maladie mortelle et incurable qui affecte les lapins sauvages et les lapins domestiques non vaccinés. Elle est causée par des insectes, des mites et des piqûres de moustiques. Les symptômes incluent des lesions sur la tête ou le corps, gonflement autour des lèvres, nez, yeux et oreilles, ainsi que des yeux rouges et une conjonctivite sévère qui peut entraîner la cécité.","La myxomatose est une maladie qui a été introduite au Royaume-Uni en 1953 pour contrôler les populations de lapins sauvages. Cependant, les lapins modernes ont développé une résistance à la maladie dans les 70 ans suivants. Les lapins domestiques peuvent être vaccinés contre cette maladie pour les protéger. Il est important de signaler tout décès massif de lapins sauvages aux centres d'investigation vétérinaire locaux."
