code,lien
code1050,https://www.elkhabar.com/societe/%D8%A7%D9%84%D8%A8%D9%84%D9%8A%D8%AF%D8%A9-%D9%85%D8%B1%D8%B6-%D8%BA%D8%B1%D9%8A%D8%A8-%D9%8A%D9%82%D8%B6%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%A8%D9%82%D8%A7%D8%B1-245601
code1051,https://www.mystateline.com/news/local-news/west-nile-virus-detected-in-winnebago-county/
code1052,https://www.wattagnet.com/poultry-meat/diseases-health/avian-influenza/article/15677890/more-minnesota-turkeys-struck-by-avian-influenza
code1053,https://thehorse.com/1128529/2-california-horses-positive-for-ehm/
code1054,https://urls.fr/BRHFco
code1055,https://www.houstonchronicle.com/politics/houston/article/westnilefoundacrossharriscounty-19521271.php
code1056,https://www.kenyanews.go.ke/thousands-of-livestock-vaccinated-in-turkana/
code1057,https://www.1011now.com/video/2024/06/20/west-nile-virus-detected-dawson-county/
code1058,https://www.cidrap.umn.edu/avian-influenza-bird-flu/china-reports-another-fatal-h5n6-avian-flu-case
code1059,https://www.nwemail.co.uk/news/24398310.deadly-incurable-rabbit-disease-reported-furness/
code1060,https://equimanagement.com/news/edcc-health-watch/manitoba-horse-positive-for-eia/
code1061,https://www.abc6.com/ridem-finds-two-cases-of-eee-in-mosquitos/
code1062,https://www.youtube.com/watch?v=PgOOG0o9y1A
code1063,https://akhersaa.net/%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%B4%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9-%D8%A8%D8%AC%D9%8A%D8%AC%D9%84-%D8%AA%D9%82%D8%B1%D8%B1-%D8%BA%D9%84%D9%82-%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D9%85%D8%A7%D8%B4%D9%8A%D8%A9
code1064,https://www.news.com.au/national/nsw-act/news/bird-flu-detected-at-second-sydney-hawkesbury-egg-farm/news-story/745d7583d6280dd98914edf3ec7588b4
code1065,https://www.elbilad.net/national/%D8%A8%D9%8A%D8%A7%D9%86-%D9%87%D8%A7%D9%85-%D9%85%D9%86-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%D8%A9-%D8%AD%D9%88%D9%84-%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D8%AC%D9%84%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D8%AF%D9%8A-%D9%84%D9%84%D8%A3%D8%A8%D9%82%D8%A7%D8%B1-130362
code1066,https://www.rudaw.net/english/middleeast/iraq/240620241
code1067,https://www.facebook.com/search/top/?q=%D9%88%D8%A7%D8%AF%20%D8%B3%D9%88%D9%81%20%D9%85%D8%B1%D8%B6%20%D8%A7%D9%84%D8%A3%D8%A8%D9%82%D8%A7%D8%B1
code1068,https://www.facebook.com/photo?fbid=479681374713621&set=pcb.479681394713619
code1069,https://www.facebook.com/ghardaianews1/videos/985954606590710
code1070,https://www.ennaharonline.com/%D8%A7%D9%84%D8%A8%D9%88%D9%8A%D8%B1%D8%A9-%D8%BA%D9%84%D9%82-%D8%A7%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%A7%D8%B3%D8%A8%D9%88%D8%B9%D9%8A-%D9%84%D9%84%D9%85%D9%88%D8%A7%D8%B4%D9%8A-%D8%A8%D8%B9/
